91614,156365
180252,4654
26702,116115
40403,59344
173556,129463
76070,187406
170440,84206
56038,15231
65967,107511
113107,26612
72596,68901
164514,3345
187547,43823
196739,11418
110282,156442
195337,164567
17108,115002
145654,14038
117973,41217
187836,988
92995,178091
91940,198381
68882,1377
68955,86806
136013,162804
176996,159769
152824,92303
170654,62619
101706,1682
167321,197599
187168,154421
67308,181772
156988,148608
169460,75575
132980,104532
165228,182281
45356,153144
190216,193677
15042,99927
20790,75058
19991,178221
28827,104594
139740,188104
6953,166221
79625,11492
102951,85930
10409,162293
160237,25874
194971,38464
90415,167978
167666,120741
199167,162605
63655,88237
161684,14873
37202,144238
23894,177189
43725,43767
110944,169392
160075,116694
192355,61967
8385,123046
57476,95073
30064,51021
49052,127853
175143,97488
26681,192198
48364,115912
44138,150115
8633,187416
5736,68619
41475,82980
135495,149627
119412,145011
196285,23700
88723,1452
421,38518
875,2239
94380,128832
147564,83614
174065,165042
141571,165456
12315,140491
1003,187872
57563,44140
86533,144887
172849,124968
25612,77136
36815,198338
25768,115989
8075,140177
109414,193062
87512,6693
73551,55737
142497,100489
100028,139500
118102,100759
75565,196468
31255,141301
189782,170448
1376,66275
185075,187506
30233,81986
177597,108739
90138,21116
18825,140316
27151,106071
181764,1258
97222,156177
140287,149187
12394,159588
54520,182815
59844,138296
166182,160619
144550,49691
41481,22849
145959,8903
98430,52870
71040,180451
70902,83329
118852,24888
35020,80381
85677,7810
94024,101330
1969,98966
37781,9711
85217,184944
166202,29221
190345,181913
20442,143268
96396,156990
126825,112250
384,121175
99751,43230
180517,163609
55003,63060
43567,53151
85131,53645
141429,118683
184274,156933
2686,135735
21904,176517
159685,43659
18261,148090
22143,98214
23934,169565
56660,199860
189245,81858
166448,28203
1083,174119
123990,103627
136436,141915
77139,73730
112129,180915
73726,129262
142491,67384
120688,39949
126499,124728
175140,68947
166628,113916
59618,57870
38816,46939
127405,195129
8555,69910
82496,82673
191190,86516
188875,176356
178398,125985
46737,68013
96445,18717
40472,53522
3851,55254
188160,73799
147861,171497
115099,70126
163252,149669
29619,59983
65864,167389
21186,77209
96337,189026
115163,1967
21952,45195
176283,139968
111946,184735
142327,184849
121295,128370
147382,72436
173143,54570
176153,171512
80518,135053
83903,165633
4565,81268
37602,56849
103496,171080
144377,58704
181092,76200
160770,181293
57970,79650
138862,158808
120921,117055
88730,19349
108157,132773
116753,139231
135393,47269
199674,6100
37951,96256
37732,88881
71192,49326
172076,127429
124341,2371
97437,76490
79616,74570
111052,136685
194825,42732
154245,45594
37432,83373
31471,108517
167448,14288
10358,43792
183969,158134
58225,18761
92666,58275
126081,76893
125319,38641
4643,173746
77410,32274
149247,148843
